,color1,color2,color3,color4
64,#9b8971,#5d4638,#cac0b7,#090502
65,#ffffff,#a58e6c,#5d3b20,
66,#ffffff,#a58e6c,#5d3b20,
67,#ffffff,#d1c0b8,#917e6f,#503e2e
68,#4d4731,#ffffff,#ad9b94,
69,#4d4731,#ffffff,#ad9b94,
70,#ffffff,#050304,#44434b,#acaba9
71,#3c3733,#ab9f8f,#ebeef3,
72,#3c3733,#ab9f8f,#ebeef3,
73,#ccbb9f,#fffffb,#614424,
74,#ccbb9f,#fffffb,#614424,
75,#c2cacc,#191516,#544f55,#b6716e
76,#ffffff,#bcbcbc,#191919,#b97464
77,#ffffff,#95756a,#160000,#a6cdce
78,#c7af95,#000000,#695137,
79,#c7af95,#000000,#695137,
80,#242015,#ffffff,#726b59,#cdc5b2
81,#7d7367,#dbcbbc,#000000,
82,#7d7367,#dbcbbc,#000000,
83,#7c6150,#281e15,#f8fdff,#d7c3a8
84,#463420,#ffffff,#a29992,
85,#463420,#ffffff,#a29992,
86,#ffffff,#707169,#310e0a,#a9abaa
87,#381a10,#ffffff,#a37e54,#d6c3a2
88,#c9c8d0,#898989,#004532,#b89e29
89,#ffffff,#b2aba5,#342218,#8d6452
90,#cecece,#020202,#8e9794,#57463e
91,#5e5452,#c2c2c2,#221914,#4172c0
92,#010000,#b58557,#f9f3de,#5e2a18
93,#c8c1c9,#0f0b1a,#7f727b,#cf252f
94,#f2eeeb,#968b87,#564438,#d1df83
95,#b6a999,#3a231b,#faf9f4,#8f5e35
96,#5d5145,#d9e3db,#9e9c85,
97,#5d5145,#d9e3db,#9e9c85,
98,#afa099,#ffffff,#17151a,#93623a
99,#ccbea1,#feffff,#403323,#8a7651
100,#ffffff,#000000,#938b66,
101,#ffffff,#000000,#938b66,
102,#d4c9c5,#1a1917,#8d7165,
103,#d4c9c5,#1a1917,#8d7165,
104,#dfdae0,#74665b,#140b03,
105,#dfdae0,#74665b,#140b03,
106,#d1d1cf,#515561,#0d0d0b,
107,#d1d1cf,#515561,#0d0d0b,
108,#332e1b,#cdd0bd,#8f9573,
109,#332e1b,#cdd0bd,#8f9573,
110,#ffffff,#bd9f79,#1e0000,#774638
111,#bfbeb9,#6a681e,#000000,#539c71
112,#a09986,#401b08,#d9d5c9,#875c30
113,#e3e3e5,#151922,#7f6e5e,#cbba87
114,#ffffff,#b8b0ae,#2f2725,#88562c
115,#000000,#ffffff,#726248,#b0ada8
116,#b49c82,#584f46,#f2edea,
117,#b49c82,#584f46,#f2edea,
118,#d2c9b8,#383732,#988169,#f0cb58
119,#f4f5ef,#596827,#bcb6a6,
120,#f4f5ef,#596827,#bcb6a6,
121,#acada8,#373334,#ffffff,#5e7688
122,#ffffff,#aba99d,#394657,#0c0c0c
123,#ffffff,#3e2214,#8b9bb5,#b3714e
124,#140a08,#fef7fe,#84785e,#b6d58f
125,#ffffff,#000000,#9e9d98,#5c5b56
126,#b8b7bc,#171310,#fefffa,#73777a
127,#ffffff,#26271f,#9b8f69,#d0ccb3
128,#cacaca,#50474a,#000000,#958e86
129,#383838,#717479,#bdbec2,
130,#383838,#717479,#bdbec2,
131,#fefefe,#18171c,#7c7d78,#c0c1bc
132,#d3d1d2,#615d76,#0f0e15,
133,#d3d1d2,#615d76,#0f0e15,
134,#ffffff,#393a34,#b2ad9a,#8f7039
135,#ffffff,#15110e,#655933,#a5a5a5
136,#ffffff,#b6b3a0,#5a5c51,#04100e
137,#ffffff,#b8ada7,#865544,#33251a
138,#ffffff,#bfbbb8,#1b1a1f,#626367
139,#000000,#e1d6d2,#938072,#772d3a
140,#ffffff,#d2aa86,#1c130c,#7f5e3f
141,#272d2d,#d6b498,#a24941,#65688f
142,#625d4a,#ffffff,#afb4c7,#040502
143,#ffffff,#9b8971,#423b31,
144,#ffffff,#9b8971,#423b31,
145,#ffffff,#080609,#a9a7a8,#4e554d
146,#ffffff,#130f10,#9a9a9a,#585858
147,#fcfcfc,#000000,#beb9b5,#3d3c3a
148,#e5d4ca,#9f9282,#140f0b,#644936
149,#ffffff,#a0a0a0,#1e1916,#895c33
150,#ffffff,#3e3935,#8c8278,#e8c798
151,#483527,#ffffff,#93826e,#e3be87
152,#ffffff,#2c353e,#aca996,
153,#ffffff,#2c353e,#aca996,
154,#ffffff,#b6afa9,#381203,#997b4f
155,#cec9c3,#1e151a,#9f8b72,#b63121
156,#ffffff,#aeaba4,#3c2a1c,
157,#ffffff,#aeaba4,#3c2a1c,
158,#feffff,#332518,#c7b39b,#856f52
159,#b3a394,#211715,#ffffff,#6d5f56
160,#c2c2c2,#6e6e6e,#191a1c,
161,#c2c2c2,#6e6e6e,#191a1c,
162,#ffffff,#aaaaaa,#4c4d48,#0c0c0a
163,#111312,#fafafa,#adabac,#736e6b
164,#ffffff,#bea374,#984b2d,#160000
165,#ffffff,#b3b0a9,#251d1a,#8c6f4f
166,#ffffff,#000000,#2a3c48,#899b9b
167,#ffffff,#83755b,#acacac,#1e1f1a
168,#786d69,#cbc7c4,#312d2a,#b5ca60
169,#ede8e2,#000000,#a99789,#655345
170,#ffffff,#afaca5,#614f39,#170c06
171,#635143,#a49183,#030000,#e9dfd3
172,#2f1c0e,#f7ffff,#936241,#d4af78
173,#fdfdfd,#a6a5a1,#000000,#494748
174,#181914,#cdbba3,#6b6448,#fffffb
175,#eae2cd,#362619,#b6a382,#905e2b
176,#252620,#ffffff,#7f7c69,#bfc1be
177,#ffffff,#413029,#c3a592,
178,#ffffff,#413029,#c3a592,
179,#6d6d6d,#140a08,#a8a8a8,#dce0e9
180,#928163,#443b2a,#cac1b0,
181,#928163,#443b2a,#cac1b0,
182,#c6c2bf,#585244,#0d0c06,
183,#c6c2bf,#585244,#0d0c06,
184,#030104,#a1a0a8,#5c5356,
185,#030104,#a1a0a8,#5c5356,
186,#ffffff,#bc7d6e,#90490f,#d1bfba
187,#cacaca,#040406,#8c8783,
188,#cacaca,#040406,#8c8783,
189,#cfbfb0,#ffffff,#95755e,#3e3129
190,#a79780,#fffffe,#564335,#c43c22
191,#000000,#9ca29e,#e1e2dc,#58554e
192,#ffffff,#c6c1be,#2e2d2b,#887b73
193,#51504c,#040404,#ffffff,#948c8a
194,#ffffff,#676d5f,#000000,#c2c490
195,#a8a499,#f0efea,#4b4b4d,#0f0a04
196,#ffffff,#c5beac,#645e4e,
197,#ffffff,#c5beac,#645e4e,
198,#eaddd7,#020107,#a09081,#50463d
199,#020202,#d1d2e7,#8a898e,#533533
200,#ffffff,#130f0c,#877253,#bcbcbc
201,#ffffff,#d1c1b1,#312d2a,#918160
202,#000000,#ffffff,#565249,#b3b29e
203,#ffffff,#a89c9c,#2e2d32,
204,#ffffff,#a89c9c,#2e2d32,
205,#ffffff,#262012,#a7a599,
206,#ffffff,#262012,#a7a599,
207,#d3d5c8,#000000,#785a3e,#d2a464
208,#ffffff,#101010,#bda873,#6b4b25
209,#f1e4db,#313439,#7e6d63,#ebc175
210,#9e9075,#cdd5e8,#674e2f,#1a1408
211,#ffffff,#b69f7f,#545359,#000000
212,#665b55,#b4aba4,#100b08,#eaeef0
213,#77653f,#0b0708,#e0e0c1,#e3bc31
214,#dcd7d3,#7d6853,#07040b,
215,#dcd7d3,#7d6853,#07040b,
216,#ffffff,#aeafaa,#544b4e,#a44703
217,#171006,#fffcf3,#694f2e,#ac9c7a
218,#757077,#151316,#ffffff,#9fadc0
219,#000000,#f3e2d0,#ab8053,#563919
220,#ffffff,#080808,#a0a168,
221,#ffffff,#080808,#a0a168,
222,#ffffff,#c9ab79,#160100,#634c2d
223,#b09d8e,#000000,#ffffff,#5f4e44
224,#ffffff,#aea79d,#7d3448,#0a0a0a
225,#ffffff,#000000,#666a4f,#b3b3b5
226,#ffffff,#856a55,#bfafa2,#262628
227,#bda486,#dadfe5,#5b3e2c,#b97520
228,#24150e,#e1caa8,#9e8064,
229,#24150e,#e1caa8,#9e8064,
230,#3d271a,#c9bcb3,#5e6b95,#b3533b
231,#aaa39d,#ede8e4,#4d3c34,#070100
232,#ffffff,#a89e95,#5e4b3a,#100a0a
233,#ffffff,#000000,#b8afaa,#766c62
234,#012845,#ffffff,#c1ac93,#7f6d5f
235,#acacac,#76655d,#2b201c,#f7f4ef
236,#ffffff,#cdbca0,#6f6d60,#292313
237,#a49c87,#503d2c,#ffffff,
238,#a49c87,#503d2c,#ffffff,
239,#ffffff,#b7b3b4,#1a1617,#bf6f32
240,#ffffff,#a29084,#3c150e,
241,#ffffff,#a29084,#3c150e,
242,#786d69,#cbc7c4,#312d2a,#b5ca60
243,#b3a791,#686055,#ffffff,#242520
244,#ffffff,#292522,#989284,#acc6dd
245,#a39b98,#ffffff,#5d5d65,#1f2024
246,#c3a37d,#542012,#f2f4f2,#936e26
247,#d0c9c3,#8e7769,#413330,
248,#d0c9c3,#8e7769,#413330,
249,#032437,#bcaf9f,#6d6050,#0e75b3
250,#edeef0,#968f7f,#30261d,
251,#edeef0,#968f7f,#30261d,
252,#f2eeed,#050400,#b6aca2,#544e50
253,#ffffff,#b3b0a9,#000000,#543624
254,#ffffff,#b6aaaa,#312d2e,#78706e
255,#ffffff,#a4a59d,#471105,#6c7059
256,#6c766b,#ffffff,#bcbebd,#242623
257,#ffffff,#b6b1ad,#865544,#2a211a
258,#ffffff,#0e0e0e,#4e4d52,#b0b1b6
259,#ffffff,#b4b4b4,#8b694e,#2a2a28
260,#dfddd1,#1b1926,#b08e73,#495d89
261,#ffffff,#a39e8b,#524b41,
262,#ffffff,#a39e8b,#524b41,
263,#4e3328,#af9c8b,#b9d3ee,#3e7378
264,#d1c1b1,#000000,#fefdff,#77513e
265,#c8b398,#4a2b17,#ffffe9,
266,#c8b398,#4a2b17,#ffffe9,
267,#221b15,#8f714b,#e1debf,#a1110d
268,#ffffff,#ad957b,#4f3429,
269,#ffffff,#ad957b,#4f3429,
270,#95784e,#120b12,#c5beb4,#fffdf3
271,#ffffff,#b6afa5,#292421,#747474
272,#ffffff,#9e896e,#523c25,#dfeb90
273,#b5b2ab,#f4f6f5,#594e4c,#13120e
274,#ffffff,#a8a39f,#7a5d4b,#2e241b
275,#ffffff,#a39276,#000000,#803a18
276,#ffffff,#484848,#9e8c8a,#f9ef90
277,#ac977c,#261e1c,#e4e2bc,
278,#ac977c,#261e1c,#e4e2bc,
279,#1b1718,#aaa097,#ffffff,#715c57
280,#fafff8,#24292d,#b9a783,#6a6a62
281,#8d6448,#070000,#caa382,#fff8df
282,#ffffff,#b2ab99,#403933,
283,#ffffff,#b2ab99,#403933,
284,#ffffff,#a79885,#151410,#5d5d5d
285,#ffffff,#aba7a4,#4a3226,#c3734e
286,#ffffff,#9fa0a2,#495056,#000000
287,#fdfef8,#2e2a27,#a5a09a,#8a554d
288,#ffffff,#aca18f,#010000,#5b5243
289,#b3a290,#e1dcd8,#52412f,#000000
290,#000000,#ffffff,#b28c71,#634527
291,#8c857f,#3e3731,#e6c4a9,#a91009
292,#ffffff,#a2988c,#645f4c,
293,#ffffff,#a2988c,#645f4c,
294,#c8c7cc,#1f1619,#9c897b,
295,#c8c7cc,#1f1619,#9c897b,
296,#c9c4c0,#231f1e,#625b55,
297,#c9c4c0,#231f1e,#625b55,
298,#a2a19c,#575652,#e4eff1,#510b0a
299,#a7a49d,#07080a,#574a41,#fef8ed
300,#ffffff,#c0c1bc,#868478,#2d0a08
301,#ffffff,#bfbfbf,#88837f,#503b26
302,#ffffff,#866254,#070101,#d9c0aa
303,#ffffff,#7f683e,#030400,#e1a66a
304,#ffffff,#c1ae9f,#413937,#8e725a
305,#655c53,#ffffff,#b6ada4,#292017
306,#ffffff,#676767,#221616,#b7c0c0
307,#ffffff,#767f7e,#0e100f,#c4c5b3
308,#282828,#d2dbe0,#8f908b,
309,#282828,#d2dbe0,#8f908b,
310,#ffffff,#a29b91,#474745,#1775b0
311,#c1c1bf,#423a38,#b57d47,#020400
312,#ffffff,#a5a5a5,#3f3631,
313,#ffffff,#a5a5a5,#3f3631,
314,#fefefc,#bdbaaa,#887f69,#2c1e13
315,#b1aca8,#08080a,#ffffff,#7e6958
316,#ffffff,#aaa591,#615339,#cc9211
317,#ffffff,#c5b292,#906342,#0d0d0d
318,#9e9181,#e2d6c6,#443d37,#050100
319,#ffffff,#030301,#cbc4b1,#7b7565
320,#ffffff,#beb7ad,#42271c,#798078
321,#060000,#dedadb,#634f34,#b1a192
322,#827d6a,#d9bea3,#41210c,#fffffe
323,#ffffff,#a49e7c,#5e5641,#110e05
324,#e7e2de,#786859,#bbaa90,#050000
325,#ffffff,#b4b5ad,#5e655e,
326,#ffffff,#b4b5ad,#5e655e,
327,#ffffff,#0a0a0a,#bcbdaf,#4f5150
328,#e3e3e3,#303135,#86817e,#ca4c31
329,#ffffff,#d3c4b1,#17140b,#a46948
330,#dadbdf,#a0a09e,#25201d,
331,#dadbdf,#a0a09e,#25201d,
332,#ac5333,#bea179,#030000,#f6eae0
333,#af986e,#2a252b,#c4e9fc,
334,#af986e,#2a252b,#c4e9fc,
335,#a6ae97,#ffffff,#262520,#5c6070
336,#ffffff,#83847f,#362c22,#d0db85
337,#afaca5,#fafafa,#60615c,#16130e
338,#ffffff,#af3236,#b29a76,#373529
